T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__streptococcus_parasanguinis,1,0.6,0.1,0.1,0.006,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__peroxiredoxin,m__hmdb01257,s__escherichia_coli,0.8,0.3,0.2,0.1,0.0048,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__fructosebisphosphate_aldolase,m__hmdb00251,s__eubacterium_rectale,0.8,0.3,0.1,0.2,0.0048,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00043,s__bacteroides_thetaiotaomicron,0.7,0.6,0.1,0.1,0.0042,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00630,s__streptococcus_parasanguinis,0.7,0.6,0.1,0.1,0.0042,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__dna_helicase,m__hmdb00289,s__roseburia_intestinalis,0.5,0.8,0.1,0.1,0.004,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephosphocoa_kinase,m__hmdb00296,s__bacteroides_caccae,0.2,0.6,0.3,0.1,0.0036,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__peroxiredoxin,m__hmdb00097,s__eubacterium_ventriosum,0.8,0.1,0.2,0.2,0.0032,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb02322,s__eubacterium_rectale,0.4,0.4,0.1,0.2,0.0032,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__histidine_kinase,m__hmdb00239,s__bacteroides_ovatus,0.2,0.1,0.8,0.2,0.0032,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.6,0.1,0.1,0.5,0.003,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__faecalibacterium_prausnitzii,1,0.3,0.1,0.1,0.003,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00089,s__klebsiella_pneumoniae,0.6,0.4,0.1,0.1,0.0024,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb02322,s__ruminococcus_torques,0.3,0.4,0.1,0.2,0.0024,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.7,0.3,0.1,0.1,0.0021,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__acetylcoa_cacetyltransferase,m__hmdb00289,s__roseburia_inulinivorans,1,0.2,0.1,0.1,0.002,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00251,s__bacteroides_xylanisolvens,0.4,0.1,0.5,0.1,0.002,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__acetylcoa_cacetyltransferase,m__hmdb00289,s__roseburia_intestinalis,1,0.2,0.1,0.1,0.002,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__acetylcoa_cacetyltransferase,m__hmdb00289,s__roseburia_inulinivorans,0.9,0.2,0.1,0.1,0.0018,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__histidine_kinase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.2,0.2,0.1,0.4,0.0016,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__glucose1phosphate_adenylyltransferase,m__hmdb01257,s__escherichia_coli,0.8,0.1,0.2,0.1,0.0016,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__fructosebisphosphate_aldolase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.5,0.3,0.1,0.1,0.0015,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__glucose1phosphate_adenylyltransferase,m__hmdb01257,s__escherichia_coli,0.6,0.1,0.2,0.1,0.0012,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__dnadirected_rna_polymerase,m__hmdb00296,s__bacteroides_caccae,0.3,0.1,0.3,0.1,0.0009,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__phosphatidate_cytidylyltransferase,m__hmdb00089,s__streptococcus_parasanguinis,0.3,0.1,0.1,0.3,0.0009,FALSE,TRUE,FALSE,FALSE
s__bacteroides_finegoldii,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00209,s__bacteroides_thetaiotaomicron,0.8,0.1,0.1,0.1,0.0008,FALSE,TRUE,FALSE,FALSE
s__bacteroides_cellulosilyticus,,g__methionyl_aminopeptidase,m__hmdb00764,s__streptococcus_parasanguinis,0.1,0.8,0.1,0.1,0.0008,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__acetylcoa_cacetyltransferase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.6,0.1,0.1,0.1,0.0006,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00289,s__roseburia_inulinivorans,0.2,0.3,0.1,0.1,0.0006,FALSE,TRUE,FALSE,FALSE
s__escherichia_coli,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00209,s__ruminococcus_torques,0.4,0.1,0.1,0.1,0.0004,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__thymidylate_synthase,m__hmdb00251,s__eubacterium_rectale,0.2,0.2,0.1,0.1,0.0004,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__histidine_kinase,m__hmdb00619,s__faecalibacterium_prausnitzii,0.2,0.2,0.1,0.1,0.0004,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00289,s__roseburia_intestinalis,0.1,0.3,0.1,0.1,0.0003,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__dnadirected_rna_polymerase,m__hmdb00296,s__bifidobacterium_longum,0.1,0.1,0.1,0.2,0.0002,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__dnadirected_rna_polymerase,m__hmdb00296,s__eubacterium_rectale,0.1,0.1,0.1,0.2,0.0002,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__dnadirected_rna_polymerase,m__hmdb00296,s__eubacterium_siraeum,0.1,0.1,0.1,0.2,0.0002,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__glucose1phosphate_adenylyltransferase,m__hmdb01257,s__eubacterium_rectale,0.1,0.1,0.1,0.2,0.0002,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__aspartate_ammonialyase,m__hmdb00630,s__bacteroides_ovatus,0.1,0.1,0.2,0.1,0.0002,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__dihydrolipoyl_dehydrogenase,m__hmdb00289,s__roseburia_intestinalis,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__endopeptidase_clp,m__hmdb01257,s__ruminococcus_torques,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,FALSE,FALSE
s__eubacterium_siraeum,,g__glucose1phosphate_adenylyltransferase,m__hmdb01257,s__eubacterium_rectale,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__endopeptidase_clp,m__hmdb01257,s__eubacterium_rectale,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__aspartate_ammonialyase,,s__roseburia_inulinivorans,0.2,,0.2,0.5,0.02,FALSE,FALSE,TRUE,FALSE
s__odoribacter_splanchnicus,,g__dephosphocoa_kinase,,s__odoribacter_splanchnicus,0.2,,0.2,0.5,0.02,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__rna_helicase,,s__bacteroides_finegoldii,0.1,,0.2,0.8,0.016,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__streptococcus_parasanguinis,0.2,,0.2,0.4,0.016,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aspartate_ammonialyase,,s__roseburia_intestinalis,0.1,,0.2,0.5,0.01,FALSE,FALSE,TRUE,FALSE
s__escherichia_coli,,g__aspartate_ammonialyase,,s__escherichia_coli,0.1,,0.1,0.9,0.009,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__glutamate_decarboxylase,,s__eubacterium_ventriosum,0.1,,0.1,0.9,0.009,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__dephosphocoa_kinase,,s__akkermansia_muciniphila,0.1,,0.1,0.8,0.008,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__5formyltetrahydrofolate_cycloligase,,s__roseburia_inulinivorans,0.1,,0.1,0.8,0.008,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl_dehydrogenase,,s__faecalibacterium_prausnitzii,0.2,,0.1,0.4,0.008,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.2,0.4,0.008,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__phosphatidate_cytidylyltransferase,,s__bacteroides_faecis,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__dnadirected_rna_polymerase,,s__bacteroides_fragilis,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__bacteroides_stercoris,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__uridine_kinase,,s__bacteroides_uniformis,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__aldose_1epimerase,,s__streptococcus_parasanguinis,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__dihydrolipoyl_dehydrogenase,,s__faecalibacterium_prausnitzii,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__aspartate_ammonialyase,,s__roseburia_intestinalis,0.2,,0.2,0.1,0.004,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__aspartate_ammonialyase,,s__roseburia_inulinivorans,0.2,,0.2,0.1,0.004,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__rna_helicase,,s__bacteroides_finegoldii,0.2,,0.2,0.1,0.004,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__triosephosphate_isomerase,,s__bacteroides_caccae,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__aspartate_ammonialyase,,s__escherichia_coli,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__klebsiella_pneumoniae,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aspartate_ammonialyase,,s__roseburia_intestinalis,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__peptidylprolyl_isomerase,,s__klebsiella_pneumoniae,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__peptidylprolyl_isomerase,,s__eubacterium_ventriosum,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl_dehydrogenase,,s__faecalibacterium_prausnitzii,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__dephosphocoa_kinase,,s__odoribacter_splanchnicus,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__streptococcus_parasanguinis,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__histidine_kinase,,s__haemophilus_parainfluenzae,0.2,,0.1,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__dephosphocoa_kinase,,s__eubacterium_rectale,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__klebsiella_pneumoniae,0.1,,0.1,0.2,0.002,FALSE,FALSE,TRUE,FALSE
s__bacteroides_ovatus,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,,s__streptococcus_parasanguinis,0.1,,0.2,0.1,0.002,FALSE,FALSE,TRUE,FALSE
s__escherichia_coli,,g__peroxiredoxin,,s__ruminococcus_torques,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__ruminococcus_torques,,g__dephosphocoa_kinase,,s__eubacterium_rectale,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__pyruvate_carboxylase,,s__bacteroides_thetaiotaomicron,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__odoribacter_splanchnicus,,g__peroxiredoxin,,s__ruminococcus_torques,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__glutamate_dehydrogenase,,s__bacteroides_thetaiotaomicron,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__bacteroides_thetaiotaomicron,,g__pyruvate_carboxylase,,s__roseburia_intestinalis,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__pyruvate_carboxylase,,s__bacteroides_thetaiotaomicron,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__triosephosphate_isomerase,,s__streptococcus_parasanguinis,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__triosephosphate_isomerase,,s__bacteroides_caccae,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__dna_helicase,,s__bacteroides_ovatus,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__aldose_1epimerase,,s__roseburia_intestinalis,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__aldose_1epimerase,,s__streptococcus_parasanguinis,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__methionyl_aminopeptidase,,s__roseburia_intestinalis,0.1,,0.1,0.1,0.001,FALSE,FALSE,TRUE,FALSE
s__clostridium_clostridioforme,,,m__hmdb00630,s__clostridium_clostridioforme,,0.3333,0.6667,1,0.22221111,FALSE,FALSE,FALSE,TRUE
s__eubacterium_ventriosum,,,m__hmdb00289,s__eubacterium_ventriosum,,0.3333,0.3333,0.9,0.099980001,FALSE,FALSE,FALSE,TRUE
s__akkermansia_muciniphila,,,m__hmdb00296,s__akkermansia_muciniphila,,0.3333,0.3333,0.8,0.088871112,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00251,s__bacteroides_finegoldii,,0.3333,0.3333,0.8,0.088871112,FALSE,FALSE,FALSE,TRUE
s__bacteroides_xylanisolvens,,,m__hmdb00251,s__bacteroides_ovatus,,0.6667,0.3333,0.2,0.044442222,FALSE,FALSE,FALSE,TRUE
s__bacteroides_ovatus,,,m__hmdb00251,s__bacteroides_xylanisolvens,,0.3333,0.6667,0.2,0.044442222,FALSE,FALSE,FALSE,TRUE
s__streptococcus_parasanguinis,,,m__hmdb00764,s__streptococcus_parasanguinis,,0.3333,0.3333,0.4,0.044435556,FALSE,FALSE,FALSE,TRUE
s__bacteroides_cellulosilyticus,,,m__hmdb00630,s__bacteroides_cellulosilyticus,,0.3333,0.3333,0.2,0.022217778,FALSE,FALSE,FALSE,TRUE
s__eubacterium_rectale,,,m__hmdb00030,s__eubacterium_rectale,,0.3333,0.3333,0.2,0.022217778,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,,,m__hmdb00014,s__klebsiella_pneumoniae,,0.3333,0.3333,0.2,0.022217778,FALSE,FALSE,FALSE,TRUE
s__bacteroides_finegoldii,,,m__hmdb00251,s__bacteroides_thetaiotaomicron,,0.3333,0.3333,0.1,0.011108889,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00251,s__bacteroides_finegoldii,,0.3333,0.3333,0.1,0.011108889,FALSE,FALSE,FALSE,TRUE
s__klebsiella_pneumoniae,,,m__hmdb00089,s__streptococcus_parasanguinis,,0.3333,0.3333,0.1,0.011108889,FALSE,FALSE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,,m__hmdb00251,s__bacteroides_thetaiotaomicron,,0.3333,0.3333,0.1,0.011108889,FALSE,FALSE,FALSE,TRUE
s__roseburia_intestinalis,,,m__hmdb00089,s__streptococcus_parasanguinis,,0.3333,0.3333,0.1,0.011108889,FALSE,FALSE,FALSE,TRUE
s__roseburia_inulinivorans,s__roseburia_inulinivorans,,,s__faecalibacterium_prausnitzii,1,,0.3333,0.4,0.13332,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__roseburia_inulinivorans,,,s__roseburia_inulinivorans,0.3333,,1,0.4,0.13332,TRUE,FALSE,FALSE,FALSE
s__bacteroides_finegoldii,s__bacteroides_eggerthii,,,s__bacteroides_finegoldii,0.3333,,0.3333,0.8,0.088871112,TRUE,FALSE,FALSE,FALSE
s__bacteroides_faecis,s__parabacteroides_merdae,,,s__bacteroides_faecis,0.3333,,0.3333,0.6,0.066653334,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__streptococcus_parasanguinis,,,s__streptococcus_parasanguinis,0.3333,,0.3333,0.5,0.055544445,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__streptococcus_parasanguinis,,,s__faecalibacterium_prausnitzii,0.3333,,0.3333,0.5,0.055544445,TRUE,FALSE,FALSE,FALSE
s__odoribacter_splanchnicus,s__bacteroides_cellulosilyticus,,,s__odoribacter_splanchnicus,0.3333,,0.3333,0.5,0.055544445,TRUE,FALSE,FALSE,FALSE
s__streptococcus_parasanguinis,s__faecalibacterium_prausnitzii,,,s__streptococcus_parasanguinis,0.3333,,0.3333,0.4,0.044435556,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__roseburia_inulinivorans,,,s__roseburia_inulinivorans,0.3333,,1,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__roseburia_inulinivorans,s__roseburia_inulinivorans,,,s__faecalibacterium_prausnitzii,1,,0.3333,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__escherichia_coli,,,s__escherichia_coli,0.3333,,1,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__escherichia_coli,s__escherichia_coli,,,s__haemophilus_parainfluenzae,1,,0.3333,0.1,0.03333,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__clostridium_symbiosum,,,s__streptococcus_parasanguinis,0.3333,,0.6667,0.1,0.022221111,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__ruminococcus_gnavus,,,s__haemophilus_parainfluenzae,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__ruminococcus_gnavus,,,s__bacteroides_thetaiotaomicron,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__bacteroides_cellulosilyticus,s__clostridium_symbiosum,,,s__bacteroides_cellulosilyticus,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__eubacterium_rectale,s__anaerostipes_hadrus,,,s__eubacterium_rectale,0.3333,,0.3333,0.2,0.022217778,TRUE,FALSE,FALSE,FALSE
s__faecalibacterium_prausnitzii,s__c2likevirus_unclassified,,,s__escherichia_coli,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bacteroides_finegoldii,s__bacteroides_eggerthii,,,s__bacteroides_thetaiotaomicron,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_eggerthii,,,s__bacteroides_finegoldii,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__ruminococcus_gnavus,,,s__haemophilus_parainfluenzae,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,s__bacteroides_eggerthii,,,s__bacteroides_thetaiotaomicron,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__haemophilus_parainfluenzae,s__bifidobacterium_longum,,,s__haemophilus_parainfluenzae,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
s__klebsiella_pneumoniae,s__ruminococcus_gnavus,,,s__haemophilus_parainfluenzae,0.3333,,0.3333,0.1,0.011108889,TRUE,FALSE,FALSE,FALSE
